unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1612760880,02/08/2021 05:08:00,BTC/USD,38568.82,38568.82,38568.82,38568.82,0.26,10027.8932
1612760820,02/08/2021 05:07:00,BTC/USD,38607.65,38609.81,38606.33,38609.81,0.59600678,23011.7085345117
1612760760,02/08/2021 05:06:00,BTC/USD,38689.3,38689.3,38630.82,38634.05,5.38255621,207949.94574495
1612760700,02/08/2021 05:05:00,BTC/USD,38673.88,38734.78,38673.88,38700.4,2.60574763,100843.475580052
1612760640,02/08/2021 05:04:00,BTC/USD,38539.24,38654.45,38537.68,38654.45,1.36713333,52845.7869478184
1612760580,02/08/2021 05:03:00,BTC/USD,38537.72,38540.47,38498.48,38498.48,0.70509592,27145.1211742016
1612760520,02/08/2021 05:02:00,BTC/USD,38619.8,38619.81,38569.57,38582.98,1.17,45142.0866
1612760460,02/08/2021 05:01:00,BTC/USD,38727.82,38727.83,38655.87,38655.87,3.04854898,117844.313059512
1612760400,02/08/2021 05:00:00,BTC/USD,38632.88,38740.88,38632.88,38740.88,7.47483258,289581.59200187
1612760340,02/08/2021 04:59:00,BTC/USD,38597.84,38631.48,38597.84,38617.27,0.98379089,37991.3184226702
1612760280,02/08/2021 04:58:00,BTC/USD,38600.03,38600.43,38599.39,38600.1,0.24935409,9625.092809409
1612760220,02/08/2021 04:57:00,BTC/USD,38604.84,38636.4,38596.82,38636.4,0.51957964,20074.686802896
1612760160,02/08/2021 04:56:00,BTC/USD,38603.44,38604.84,38576.44,38604.84,0.96157185,37121.3274177539
1612760100,02/08/2021 04:55:00,BTC/USD,38608.26,38642.49,38608.25,38608.25,8.05441459,310966.852094367
1612760040,02/08/2021 04:54:00,BTC/USD,38589.24,38648.75,38589.24,38648.75,0.63372816,24492.8012238
1612759980,02/08/2021 04:53:00,BTC/USD,38596.48,38597.87,38596.48,38597.87,0.26621272,10275.2439589064
1612759920,02/08/2021 04:52:00,BTC/USD,38610.57,38610.57,38598.03,38603.37,1.269,48987.67653
1612759860,02/08/2021 04:51:00,BTC/USD,38640.4,38640.4,38596.49,38614.22,2.78660677,107602.646870269
1612759800,02/08/2021 04:50:00,BTC/USD,38661.11,38681.06,38654.72,38664.16,0.78672123,30417.9155121168
1612759740,02/08/2021 04:49:00,BTC/USD,38610,38649.05,38609.99,38649.05,3.29707282,127428.732273821
1612759680,02/08/2021 04:48:00,BTC/USD,38589.11,38610,38589.11,38598.6,2.86692946,110659.463454756
1612759620,02/08/2021 04:47:00,BTC/USD,38592.24,38613.19,38564.01,38564.01,3.97551702,153311.87811445
1612759560,02/08/2021 04:46:00,BTC/USD,38657.27,38657.27,38600.29,38600.29,0.17362299,6701.8977646671
1612759500,02/08/2021 04:45:00,BTC/USD,38651.29,38684.76,38651.29,38684.76,0.732,28317.24432
1612759440,02/08/2021 04:44:00,BTC/USD,38638.84,38658.83,38638.84,38658.83,0.20845677,8058.6948337791
1612759380,02/08/2021 04:43:00,BTC/USD,38608.47,38608.47,38608.47,38608.47,0.02,772.1694
1612759320,02/08/2021 04:42:00,BTC/USD,38603.99,38603.99,38603.99,38603.99,0.01292,498.763550799999
